"Estado","% Ocupación"
"Aguascalientes","22.22"
"Baja California","18.60"
"Baja California Sur","45.90"
"Campeche","10.60"
"Chiapas","19.71"
"Chihuahua","18.00"
"Ciudad de México","69.31"
"Coahuila de Zaragoza","11.39"
"Colima","80.35"
"Durango","55.78"
"Guanajuato","7.58"
"Guerrero","45.89"
"Hidalgo","48.88"
"Jalisco","49.62"
"Michoacán de Ocampo","28.25"
"Morelos","15.62"
"México","41.62"
"Nayarit","69.07"
"Nuevo León","68.13"
"Oaxaca","53.60"
"Puebla","25.56"
"Querétaro","24.69"
"Quintana Roo","22.04"
"San Luis Potosí","24.65"
"Sinaloa","56.53"
"Sonora","41.70"
"Tabasco","44.89"
"Tamaulipas","31.64"
"Tlaxcala","37.09"
"Veracruz de Ignacio de La Llave","41.37"
"Yucatán","40.67"
"Zacatecas","24.80"
