"Estado","% Ocupación"
"Aguascalientes","49.15"
"Baja California","22.67"
"Baja California Sur","26.68"
"Campeche","15.59"
"Chiapas","24.93"
"Chihuahua","19.66"
"Ciudad de México","77.63"
"Coahuila de Zaragoza","33.10"
"Colima","90.90"
"Durango","74.80"
"Guanajuato","19.43"
"Guerrero","76.44"
"Hidalgo","65.81"
"Jalisco","56.60"
"Michoacán de Ocampo","47.48"
"Morelos","50.00"
"México","59.99"
"Nayarit","71.03"
"Nuevo León","68.38"
"Oaxaca","58.21"
"Puebla","64.61"
"Querétaro","43.61"
"Quintana Roo","51.88"
"San Luis Potosí","41.99"
"Sinaloa","59.07"
"Sonora","52.53"
"Tabasco","32.79"
"Tamaulipas","39.02"
"Tlaxcala","49.25"
"Veracruz de Ignacio de La Llave","65.42"
"Yucatán","17.82"
"Zacatecas","49.50"
