estado,fecha,hosp_gral,cama_venti,venti_uci
Aguascalientes,01/06/2021,8.58,11.83,24.52
Baja California,01/06/2021,17.99,17.39,13.33
Baja California Sur,01/06/2021,29.14,21.78,0
Campeche,01/06/2021,2.46,5.66,3.57
Chiapas,01/06/2021,3.48,4.45,6.34
Chihuahua,01/06/2021,18.01,17.11,14.11
Ciudad de México,01/06/2021,17.34,18.68,17.95
Coahuila de Zaragoza,01/06/2021,10.03,9.45,37.5
Colima,01/06/2021,14.75,20.58,5.55
Durango,01/06/2021,22.47,14.58,19.29
Guanajuato,01/06/2021,3.49,2,3.57
Guerrero,01/06/2021,10.93,6.14,3.37
Hidalgo,01/06/2021,10.9,8.87,5.71
Jalisco,01/06/2021,11.51,8.48,16.76
México,01/06/2021,13.19,10.52,34.75
Michoacán de Ocampo,01/06/2021,12.61,12.8,14.28
Morelos,01/06/2021,10.55,9.57,0
Nayarit,01/06/2021,23.42,2.53,0
Nuevo León,01/06/2021,21.92,19.49,31.39
Oaxaca,01/06/2021,13.86,13.75,27.86
Puebla,01/06/2021,10.22,12.04,14.75
Querétaro,01/06/2021,6.12,8.17,58.33
Quintana Roo,01/06/2021,31.67,20.26,34.78
San Luis Potosí,01/06/2021,4.85,6.37,13.79
Sinaloa,01/06/2021,12.65,13.2,18.98
Sonora,01/06/2021,22.57,11.11,27.9
Tabasco,01/06/2021,21.72,29.09,30.5
Tamaulipas,01/06/2021,22.69,13.7,28.4
Tlaxcala,01/06/2021,9.55,10.18,0
Veracruz de Ignacio de la Llave,01/06/2021,13.33,8.18,21.1
Yucatán,01/06/2021,16.07,23.88,71.42
Zacatecas,01/06/2021,10,8.48,40
Aguascalientes,02/06/2021,9.75,10.71,24.52
Baja California,02/06/2021,17.53,19.04,24
Baja California Sur,02/06/2021,25.84,20.76,0
Campeche,02/06/2021,4.69,14.47,19.04
Chiapas,02/06/2021,3.64,4.39,7.93
Chihuahua,02/06/2021,16.84,19.04,11.76
Ciudad de México,02/06/2021,16,13.71,15.75
Coahuila de Zaragoza,02/06/2021,9.84,8.49,37.5
Colima,02/06/2021,15.7,20.28,0
Durango,02/06/2021,21.34,15.95,23.21
Guanajuato,02/06/2021,4.25,1.75,5.35
Guerrero,02/06/2021,12.03,5.72,3.37
Hidalgo,02/06/2021,10.87,8.87,2.94
Jalisco,02/06/2021,11.12,8.63,15.6
México,02/06/2021,12.51,9.78,36.27
Michoacán de Ocampo,02/06/2021,11.4,12.03,18.75
Morelos,02/06/2021,9.13,4.03,0
Nayarit,02/06/2021,19.81,5.06,0
Nuevo León,02/06/2021,21.54,18.32,29.62
Oaxaca,02/06/2021,12.27,12.5,26.66
Puebla,02/06/2021,11.03,13.56,20.48
Querétaro,02/06/2021,7.97,7.66,54.54
Quintana Roo,02/06/2021,32.39,19.26,36.61
San Luis Potosí,02/06/2021,3.98,4.92,10.71
Sinaloa,02/06/2021,14.79,11.83,16.39
Sonora,02/06/2021,20.66,11.38,26.53
Tabasco,02/06/2021,21.89,29.44,30.26
Tamaulipas,02/06/2021,22.88,14.05,28.26
Tlaxcala,02/06/2021,8.97,11.11,0
Veracruz de Ignacio de la Llave,02/06/2021,13.54,8.25,16.03
