"","Estado","fecha","hosp_gral","cama_venti","venti_uci"
"1","Aguascalientes",2021-06-01,8.58,11.83,24.52
"2","Baja California",2021-06-01,17.99,17.39,13.33
"3","Baja California Sur",2021-06-01,29.14,21.78,0
"4","Campeche",2021-06-01,2.46,5.66,3.57
"5","Chiapas",2021-06-01,3.48,4.45,6.34
"6","Chihuahua",2021-06-01,18.01,17.11,14.11
"7","Ciudad de México",2021-06-01,17.34,18.68,17.95
"8","Coahuila de Zaragoza",2021-06-01,10.03,9.45,37.5
"9","Colima",2021-06-01,14.75,20.58,5.55
"10","Durango",2021-06-01,22.47,14.58,19.29
"11","Guanajuato",2021-06-01,3.49,2,3.57
"12","Guerrero",2021-06-01,10.93,6.14,3.37
"13","Hidalgo",2021-06-01,10.9,8.87,5.71
"14","Jalisco",2021-06-01,11.51,8.48,16.76
"15","México",2021-06-01,13.19,10.52,34.75
"16","Michoacán de Ocampo",2021-06-01,12.61,12.8,14.28
"17","Morelos",2021-06-01,10.55,9.57,0
"18","Nayarit",2021-06-01,23.42,2.53,0
"19","Nuevo León",2021-06-01,21.92,19.49,31.39
"20","Oaxaca",2021-06-01,13.86,13.75,27.86
"21","Puebla",2021-06-01,10.22,12.04,14.75
"22","Querétaro",2021-06-01,6.12,8.17,58.33
"23","Quintana Roo",2021-06-01,31.67,20.26,34.78
"24","San Luis Potosí",2021-06-01,4.85,6.37,13.79
"25","Sinaloa",2021-06-01,12.65,13.2,18.98
"26","Sonora",2021-06-01,22.57,11.11,27.9
"27","Tabasco",2021-06-01,21.72,29.09,30.5
"28","Tamaulipas",2021-06-01,22.69,13.7,28.4
"29","Tlaxcala",2021-06-01,9.55,10.18,0
"30","Veracruz de Ignacio de La Llave",2021-06-01,13.33,8.18,21.1
"31","Yucatán",2021-06-01,16.07,23.88,71.42
"32","Zacatecas",2021-06-01,10,8.48,40
"33","Aguascalientes",2021-06-02,9.75,10.71,24.52
"34","Baja California",2021-06-02,17.53,19.04,24
"35","Baja California Sur",2021-06-02,25.84,20.76,0
"36","Campeche",2021-06-02,4.69,14.47,19.04
"37","Chiapas",2021-06-02,3.64,4.39,7.93
"38","Chihuahua",2021-06-02,16.84,19.04,11.76
"39","Ciudad de México",2021-06-02,16,13.71,15.75
"40","Coahuila de Zaragoza",2021-06-02,9.84,8.49,37.5
"41","Colima",2021-06-02,15.7,20.28,0
"42","Durango",2021-06-02,21.34,15.95,23.21
"43","Guanajuato",2021-06-02,4.25,1.75,5.35
"44","Guerrero",2021-06-02,12.03,5.72,3.37
"45","Hidalgo",2021-06-02,10.87,8.87,2.94
"46","Jalisco",2021-06-02,11.12,8.63,15.6
"47","México",2021-06-02,12.51,9.78,36.27
"48","Michoacán de Ocampo",2021-06-02,11.4,12.03,18.75
"49","Morelos",2021-06-02,9.13,4.03,0
"50","Nayarit",2021-06-02,19.81,5.06,0
"51","Nuevo León",2021-06-02,21.54,18.32,29.62
"52","Oaxaca",2021-06-02,12.27,12.5,26.66
"53","Puebla",2021-06-02,11.03,13.56,20.48
"54","Querétaro",2021-06-02,7.97,7.66,54.54
"55","Quintana Roo",2021-06-02,32.39,19.26,36.61
"56","San Luis Potosí",2021-06-02,3.98,4.92,10.71
"57","Sinaloa",2021-06-02,14.79,11.83,16.39
"58","Sonora",2021-06-02,20.66,11.38,26.53
"59","Tabasco",2021-06-02,21.89,29.44,30.26
"60","Tamaulipas",2021-06-02,22.88,14.05,28.26
"61","Tlaxcala",2021-06-02,8.97,11.11,0
"62","Veracruz de Ignacio de La Llave",2021-06-02,13.54,8.25,16.03
"63","Yucatán",2021-06-02,15.69,25,72.72
"64","Zacatecas",2021-06-02,10.06,6.62,30
"65","Aguascalientes",2021-06-03,12.65,10.3,24.52
"66","Baja California",2021-06-03,13.66,18.43,11.11
"67","Baja California Sur",2021-06-03,30.45,22.04,0
"68","Campeche",2021-06-03,4.98,8.1,12.5
"69","Chiapas",2021-06-03,3.92,4.74,9.52
"70","Chihuahua",2021-06-03,16.59,16.4,12.04
"71","Ciudad de México",2021-06-03,16.21,18.2,17.84
"72","Coahuila de Zaragoza",2021-06-03,9.09,9.27,37.5
"73","Colima",2021-06-03,13.09,20,0
"74","Durango",2021-06-03,21.59,12.9,24.56
"75","Guanajuato",2021-06-03,4.14,1.93,5.35
"76","Guerrero",2021-06-03,10.61,7.27,4.7
"77","Hidalgo",2021-06-03,11.64,9.14,3.33
"78","Jalisco",2021-06-03,11.18,8.31,15.02
"79","México",2021-06-03,11.73,9.2,28.33
"80","Michoacán de Ocampo",2021-06-03,10.7,10.63,18.75
"81","Morelos",2021-06-03,8.68,5.12,0
"82","Nayarit",2021-06-03,19.09,10,0
"83","Nuevo León",2021-06-03,22,18.76,32.91
"84","Oaxaca",2021-06-03,12,11.37,27.27
"85","Puebla",2021-06-03,10.71,13.24,17.5
"86","Querétaro",2021-06-03,5.89,6.61,54.54
"87","Quintana Roo",2021-06-03,31.94,17.44,33.33
"88","San Luis Potosí",2021-06-03,4.23,4.71,7.81
"89","Sinaloa",2021-06-03,15.4,12.21,17.07
"90","Sonora",2021-06-03,20.06,10.21,20
"91","Tabasco",2021-06-03,21.78,28.91,30.5
"92","Tamaulipas",2021-06-03,23.38,15.62,26.88
"93","Tlaxcala",2021-06-03,8.86,10.18,0
"94","Veracruz de Ignacio de La Llave",2021-06-03,13.13,6.99,15.38
"95","Yucatán",2021-06-03,16.19,28.07,72.72
"96","Zacatecas",2021-06-03,8.21,6.13,27.77
"97","Aguascalientes",2021-06-04,12.65,11.58,24.52
"98","Baja California",2021-06-04,17.06,17.94,11.36
"99","Baja California Sur",2021-06-04,32.18,20.85,0
"100","Campeche",2021-06-04,5.8,11.6,15.62
"101","Chiapas",2021-06-04,3.87,3.75,9.52
"102","Chihuahua",2021-06-04,14,16.39,15.71
